,movie_name,imdb_id,TMDb Rating,Metascore,Rotten Tomatoes,imdbRating,YouTube Sentiment
0,Spider Man 2 2004,tt0316654,7.269,83.0,9.3,7.5,92.30975
1,Spider Man No Way Home,tt10872600,7.972,71.0,9.3,8.2,85.44378378378379
2,Suicide Squad,tt1386697,5.911,40.0,2.6,5.9,43.852
3,Fantastic Four 2015,tt1502712,4.4,27.0,0.9,4.3,23.90080000000001
4,Guardians of the Galaxy,tt2015381,7.976,76.0,9.2,8.0,93.428
5,Batman v Superman,tt2975590,5.965,44.0,2.9,6.5,25.874499999999998
6,Logan,tt3315342,7.819,77.0,9.3,8.1,64.6065
7,Thor Ragnarok,tt3501632,7.6,74.0,9.3,7.9,65.82083333333334
8,Morbius,tt5108870,6.056,35.0,1.5,5.2,66.12878787878789
9,Dark Phoenix,tt6565702,5.981,43.0,2.2,5.7,21.612857142857145
